arquivo,nome,linhas,tamanho_bytes,tema_classificado,titulo,primeiras_linhas
relatorios/historico/auditorias_especificas/AUDITORIA_POS_VENCIMENTO_V145.md,AUDITORIA_POS_VENCIMENTO_V145.md,132,5712,ativacao_futuros_pos_vencimento,AUDITORIA POS-VENCIMENTO V145,"# AUDITORIA POS-VENCIMENTO V145 | ## Escopo | Baseline usada: **V144**. | Janela crítica auditada: **2026-05-03 a 2026-05-06**. | Objetivo: verificar se o gate atual do motor diário está escondendo um caso realmente vencedor de `switch_then_pay` quando os lotes **Lote 3000 mar. V** e **Lote 3000 mar. B** entram em vencimento em **2026-05-04**, com rollover obrigatório no próprio dia ou, no máximo, em **2026-05-05**. | ## Achado estrutural principal | A política operacional já existe no config: | - `politicas.pos_vencimento.rendimento = ""parar""`"
relatorios/historico/auditorias_especificas/AUDITORIA_REPOSITORIO_V142.md,AUDITORIA_REPOSITORIO_V142.md,30,2272,arquitetura_repositorio_scripts,AUDITORIA_REPOSITORIO_V142,"# AUDITORIA_REPOSITORIO_V142 | - Baseline auditada: `V141`. | - Escopo: organização do repositório, integridade do alocador terminal, viabilidade da expansão comparativa do fluxo de pagamentos e validação local mínima da nova camada V142. | ## Achados principais | - A arquitetura da V141 está coerente com a reorganização documental recente: contratos, diagnósticos, wrappers de scripts e núcleo temporal permanecem separados de forma legível e auditável. | - O `alocador_pagamentos_terminal_v1` já estava funcional na V141, mas a validação operacional vigente ainda estava concentrada no recorte curto V138 e em cenários sintéticos/diagnósticos. | - O principal gargalo encontrado não foi erro estrutural do alocador, mas custo computacional da comparação expandida quando a auditoria ampla é executada com busca de switching muito larga; por isso a V142 comparativa usa teto controlado de candidatos por data apenas nesta camada de inspeção. | - Foi adicionada uma chave explícita para desabilitar H1–H3 (`desabilitar_modelos_script1_fase1`) em modo comparativo, permitindo auditoria controlada sem reabrir o contrato principal da V141."
relatorios/historico/auditorias_especificas/AUDITORIA_TEMATICA_SCRIPTS_TEMPORAIS_V155.md,AUDITORIA_TEMATICA_SCRIPTS_TEMPORAIS_V155.md,62,2436,arquitetura_repositorio_scripts,Auditoria temática dos scripts temporais — V155,"# Auditoria temática dos scripts temporais — V155 | ## Escopo | Auditoria temática sobre os scripts relacionados a motor diário, pós-vencimento, `tau` e bloco crítico, tomando a V154 como baseline estrutural. | ## Achados centrais | 1. O conjunto auditado possui **10 scripts** que tratam do mesmo eixo semântico: decisão temporal local. | 2. Esse eixo estava espalhado no diretório plano `scripts/diagnostico/`, misturando: |    - runners do motor diário; |    - auditorias de valoração e flattening;"
relatorios/historico/auditorias_especificas/RECALIBRACAO_PLANEJADOR_SWITCHING_TEMPORAL_V120.md,RECALIBRACAO_PLANEJADOR_SWITCHING_TEMPORAL_V120.md,28,1135,recalibracao_recomputacao,Recalibração do planejador temporal de switching — V120,# Recalibração do planejador temporal de switching — V120 | ## Objetivo | Substituir o ranqueamento por ganho proxy simples por um ranqueamento por **ganho terminal econômico mínimo real estimado**. | ## Componentes incorporados | - custo fiscal estimado do resgate; | - patrimônio terminal reprojetado da origem até o fim do recorte; | - patrimônio terminal reprojetado do destino após reinvestimento líquido; | - penalidade incremental de carência/liquidez baseada na janela adicional de indisponibilidade;
relatorios/historico/auditorias_especificas/RECOMPUTACAO_SEQUENCIAL_CENTRAL_V107.md,RECOMPUTACAO_SEQUENCIAL_CENTRAL_V107.md,26,950,recalibracao_recomputacao,Recomputação sequencial central V107,# Recomputação sequencial central V107 | A V107 implementa a `recomputacao_sequencial_central_v1` como primeira camada executável da frente central após o saneamento contratual da V106. | ## Escopo | - recalcular a fonte a cada pagamento futuro; | - usar saldos residuais atualizados; | - comparar alternativas pela métrica canônica mínima central; | - manter rastreabilidade por lote e por fonte; | - não abrir solver global completo.
relatorios/historico/auditorias_especificas/REORGANIZACAO_ESTRUTURAL_V153.md,REORGANIZACAO_ESTRUTURAL_V153.md,113,4459,arquitetura_repositorio_scripts,Reorganização estrutural V153,"# Reorganização estrutural V153 | ## Objetivo | Executar uma primeira reorganização arquitetural **sem alterar o contrato funcional**, começando pelo mapeamento de responsabilidades reais e depois pela redistribuição de funções de menor risco. | ## Limitação de baseline no ambiente | O artefato zip rotulado como V152 não estava disponível no ambiente de execução no momento desta etapa. A reorganização foi aplicada sobre a baseline acessível mais recente (`payment-investment-allocation_v151.zip`), preservando o contrato funcional observável do motor diário e sem introduzir mudanças de regra de negócio. | ## Mapa de responsabilidades reais | ### 1. Aplicação e console | - `aplicacao/principal.py`: ponto de entrada operacional."
relatorios/historico/auditorias_especificas/VALIDACAO_LOCAL_V139.md,VALIDACAO_LOCAL_V139.md,7,296,validacoes_locais,Validação local V139,"# Validação local V139 | ## Verificações executadas | - `python scripts/diagnostico/verificar_release_baseline.py` | ## Objetivo da validação | Confirmar que a reorganização documental/operacional da V139 preserva a baseline íntegra, sem artefatos efêmeros e com índice documental coerente."
relatorios/historico/auditorias_especificas/VALIDACAO_LOCAL_V141.md,VALIDACAO_LOCAL_V141.md,12,519,validacoes_locais,Validação local V141,# Validação local V141 | Validações executadas nesta etapa: | - compilação de `nucleo/alocador_pagamentos_terminal_v1.py`; | - compilação de `nucleo/pagamentos/modelos_script1/heuristicas_fase1.py`; | - execução de `scripts/diagnostico/inspecionar_alocador_pagamentos_terminal_v141.py`; | - `python scripts/diagnostico/verificar_release_baseline.py`. | Resultado esperado: | - baseline V141 íntegra;
relatorios/historico/auditorias_especificas/VALIDACAO_LOTE_10342_FEV_V36.md,VALIDACAO_LOTE_10342_FEV_V36.md,82,2915,auditorias_lotes,VALIDAÇÃO DO LOTE 10342 FEV. — V36,"# VALIDAÇÃO DO LOTE 10342 FEV. — V36 | ## Contexto | O usuário informou duas discrepâncias principais para o `Lote 10342 fev.`: | 1. o resgate agregado de `12/02/2026`, correspondente à soma de `Aluguel` + `IPVA`; | 2. o resgate de `13/03/2026`, correspondente à conta `Escola`. | Além disso, a nova planilha corrigiu: | - `IPVA` de `12/02/2026` em `-R$ 0,02`; | - `Internet` de `16/02/2026` em `-R$ 1,00`."
relatorios/historico/auditorias_especificas/VALIDACAO_LOTE_5400_FEV_V35.md,VALIDACAO_LOTE_5400_FEV_V35.md,25,1214,auditorias_lotes,VALIDACAO LOTE 5400 FEV - V35,"# VALIDACAO LOTE 5400 FEV - V35 | ## Hipótese aplicada | Quando `data_base_fiscal + dias_bonus` cair em dia sem rendimento bancário, a taxa bônus deve permanecer válida no primeiro dia útil de rendimento subsequente. | ## Traço do replay após a correção | | Data | Conta | Despesa ID | Valor da conta | Saldo antes | Bruto | Imposto | Líquido | Saldo remanescente | | |---|---|---|---:|---:|---:|---:|---:|---:| | | 2026-03-13 | Escola | despesa_auto_00035 | 807,20 | 5.490,39 | 810,20 | 3,00 | 807,20 | 4.680,19 | | | 2026-03-16 | Internet | despesa_auto_00036 | 132,40 | 4.682,85 | 132,91 | 0,51 | 132,40 | 4.549,94 |"
