arquivo,nome,versao_detectada,faixa_versao,classe_preliminar,linhas,tamanho_bytes,titulo,primeiras_linhas
relatorios/historico/baselines/BASELINE_FIXA_V114.md,BASELINE_FIXA_V114.md,114,V091_V120,BASELINE_RELEVANTE,9,372,Baseline fixa V114,# Baseline fixa V114 | A V114 adiciona o `motor_recomendacao_pagamentos_switching_v1` ao repositório. | ## Status da baseline | - **baseline principal da frente central:** V108 | - **baseline do repositório entregue:** V114
relatorios/historico/baselines/BASELINE_FIXA_V115.md,BASELINE_FIXA_V115.md,115,V091_V120,BASELINE_RELEVANTE,14,600,Baseline fixa V115,# Baseline fixa V115 | A V115 é uma baseline de **reorganização estrutural e limpeza controlada** do repositório. | ## Status da baseline | - **baseline central/contratual da frente principal:** V108 | - **baseline operacional por conta preservada:** V114
relatorios/historico/baselines/BASELINE_FIXA_V116.md,BASELINE_FIXA_V116.md,116,V091_V120,BASELINE_RELEVANTE,14,724,Baseline fixa V116,# Baseline fixa V116 | A V116 é uma baseline de **recalibração cirúrgica do comparador local** do `motor_recomendacao_pagamentos_switching_v1`. | ## Status da baseline | - **baseline central/contratual da frente principal:** V108 | - **baseline estrutural imediatamente anterior:** V115
relatorios/historico/baselines/BASELINE_FIXA_V117.md,BASELINE_FIXA_V117.md,117,V091_V120,BASELINE_RELEVANTE,14,837,Baseline fixa V117,# Baseline fixa V117 | A V117 é uma baseline **documental/técnica mínima** voltada à formalização do futuro motor conjunto temporal do projeto. | ## Status da baseline | - **baseline central/contratual da frente principal:** V108 | - **baseline operacional imediatamente anterior:** V116
relatorios/historico/baselines/BASELINE_FIXA_V118.md,BASELINE_FIXA_V118.md,118,V091_V120,BASELINE_RELEVANTE,33,1243,Baseline fixa V118,# Baseline fixa V118 | A V118 é a baseline **funcional mínima** da nova camada temporal do projeto. | ## Papel da V118 | - preservar a baseline central V108 como referência contratual; | - preservar a V116 como baseline operacional anterior por conta;
relatorios/historico/baselines/BASELINE_FIXA_V119.md,BASELINE_FIXA_V119.md,119,V091_V120,BASELINE_RELEVANTE,21,725,Baseline fixa V119,# Baseline fixa V119 | A V119 é a baseline **temporal mínima com transição econômica real simplificada do lote**. | ## Papel da V119 | A V119 preserva: | - o contrato V117 do motor conjunto temporal;
relatorios/historico/baselines/BASELINE_FIXA_V12.md,BASELINE_FIXA_V12.md,12,V001_V030,BASELINE_RELEVANTE,18,610,Baseline fixa V12,"# Baseline fixa V12 | Esta versão do repositório foi congelada como baseline fixa de referência da fase atual do projeto. | ## Escopo adicional da V12 | Além do que já existia na V11, a V12 consolida uma camada neutra compartilhada para: | - calendário financeiro;"
relatorios/historico/baselines/BASELINE_FIXA_V120.md,BASELINE_FIXA_V120.md,120,V091_V120,BASELINE_RELEVANTE,21,856,Baseline fixa V120,# Baseline fixa V120 | A V120 é a baseline **temporal mínima recalibrada no planejador de switching**. | ## Papel da V120 | A V120 preserva: | - o contrato V117 do motor conjunto temporal;
relatorios/historico/baselines/BASELINE_FIXA_V121.md,BASELINE_FIXA_V121.md,121,V121_V150,BASELINE_RELEVANTE,22,1049,Baseline fixa V121,# Baseline fixa V121 | A V121 é a baseline **temporal mínima expandida para múltiplos destinos elegíveis no planejador de switching**. | ## Papel da V121 | A V121 preserva: | - o contrato V117 do motor conjunto temporal;
relatorios/historico/baselines/BASELINE_FIXA_V122.md,BASELINE_FIXA_V122.md,122,V121_V150,BASELINE_RELEVANTE,20,765,Baseline fixa V122,# Baseline fixa V122 | A V122 é a baseline **diagnóstica multihorizonte do planejador temporal de switching**. | ## Papel da V122 | A V122 preserva: | - a frente central V108;
relatorios/historico/baselines/BASELINE_FIXA_V123.md,BASELINE_FIXA_V123.md,123,V121_V150,BASELINE_RELEVANTE,3,107,V123,# V123 | Baseline fixa focada na incorporação do ranking Carteira-only estabilizado ao projeto principal.
relatorios/historico/baselines/BASELINE_FIXA_V124.md,BASELINE_FIXA_V124.md,124,V121_V150,BASELINE_GRANULAR,3,190,V124,# V124 | Baseline atual após a rerodagem da simulação central controlada em horizonte mais longo usando o ranking Carteira-only estabilizado como fonte de destinos do planejador temporal.
relatorios/historico/baselines/BASELINE_FIXA_V125.md,BASELINE_FIXA_V125.md,125,V121_V150,BASELINE_GRANULAR,3,214,V125,"# V125 | Baseline atual após a auditoria multihorizonte do cenário conjunto, expandindo a análise temporal para uma grade mais rica de janelas e verificando quando o switching realmente sobrevive economicamente."
relatorios/historico/baselines/BASELINE_FIXA_V126.md,BASELINE_FIXA_V126.md,126,V121_V150,BASELINE_RELEVANTE,3,209,Baseline fixa V126,"# Baseline fixa V126 | A V126 formaliza a grade diária de avaliação de data ótima de switching, com comparação condicional por dia e suporte a cenários isolados/agrupados em modo integral e parcial 50%."
relatorios/historico/baselines/BASELINE_FIXA_V127.md,BASELINE_FIXA_V127.md,127,V121_V150,BASELINE_RELEVANTE,3,247,Baseline fixa V127,"# Baseline fixa V127 | A V127 consolida a exclusão definitiva do switching parcial na grade diária e passa a avaliar apenas cenários integrais individuais e agrupados, com suporte explícito a lotes não aportados disponíveis quando existirem."
relatorios/historico/baselines/BASELINE_FIXA_V128.md,BASELINE_FIXA_V128.md,128,V121_V150,BASELINE_RELEVANTE,3,231,Baseline fixa V128,"# Baseline fixa V128 | A V128 consolida a continuação da grade diária integral após `2026-05-20` e confirma, no horizonte auditado ampliado até `2026-08-18`, que a janela vencedora iniciada em `2026-04-30` permanece dominante."
relatorios/historico/baselines/BASELINE_FIXA_V129.md,BASELINE_FIXA_V129.md,129,V121_V150,BASELINE_RELEVANTE,3,187,Baseline fixa V129,"# Baseline fixa V129 | A V129 corrige a leitura/propagação de parâmetros de produto no switching temporal, com foco em aplicação mínima/máxima e auditoria focal da janela crítica."
relatorios/historico/baselines/BASELINE_FIXA_V13.md,BASELINE_FIXA_V13.md,13,V001_V030,BASELINE_RELEVANTE,14,460,Baseline fixa V13,"# Baseline fixa V13 | Esta versão congela a baseline com refinamentos de auditabilidade no console. | ## Escopo adicional da V13 | Além do que já existia na V12, a V13 consolida: | - severidade explícita no console (`OK`, `AVISO`, `ERRO`);"
relatorios/historico/baselines/BASELINE_FIXA_V130.md,BASELINE_FIXA_V130.md,130,V121_V150,BASELINE_RELEVANTE,3,221,Baseline fixa V130,"# Baseline fixa V130 | A V130 mantém a V129 como baseline lógica e adiciona a rerodagem parametrizada da janela crítica `2026-04-30` a `2026-05-20`, com validação de ticket individual e agrupado no switching diário."
relatorios/historico/baselines/BASELINE_FIXA_V131.md,BASELINE_FIXA_V131.md,131,V121_V150,BASELINE_RELEVANTE,3,277,Baseline fixa — V131,"# Baseline fixa — V131 | A V131 mantém a lógica operacional da V130 e adiciona uma auditoria cirúrgica do bloco `2026-05-13` a `2026-05-20`, mostrando que o cenário `Lote 8500 mar. -> Combo PicPay 100-120 3m` vence a métrica lexicográfica, mas não o objetivo terminal."
relatorios/historico/baselines/BASELINE_FIXA_V132.md,BASELINE_FIXA_V132.md,132,V121_V150,BASELINE_RELEVANTE,3,290,Baseline fixa V132,"# Baseline fixa V132 | A V132 introduz o comparador híbrido de switching, que reclassifica cenários diários em vencedor operacional, vencedor terminal, vencedor híbrido aceitável ou dominado pelo baseline, bloqueando promoção automática de cenários que piorem patrimônio terminal."
relatorios/historico/baselines/BASELINE_FIXA_V133.md,BASELINE_FIXA_V133.md,133,V121_V150,BASELINE_RELEVANTE,5,322,Baseline fixa V133,"# Baseline fixa V133 | A V133 promove a integração do comparador híbrido ao fluxo oficial da grade diária. | Mudança central: o consolidado diário oficial deixa de promover automaticamente vencedores apenas operacionais e passa a emitir `vencedor terminal`, `vencedor híbrido aceitável` ou `baseline_sem_switching`."
relatorios/historico/baselines/BASELINE_FIXA_V134.md,BASELINE_FIXA_V134.md,134,V121_V150,BASELINE_RELEVANTE,3,218,Baseline fixa V134,"# Baseline fixa V134 | A V134 consolida a expansão da grade diária oficial híbrida além de 2026-05-20, com promoção oficial apenas de `vencedor_terminal`, `vencedor_hibrido_aceitavel` ou `baseline_sem_switching`."
relatorios/historico/baselines/BASELINE_FIXA_V135.md,BASELINE_FIXA_V135.md,135,V121_V150,BASELINE_RELEVANTE,3,288,Baseline fixa V135,"# Baseline fixa V135 | A V135 consolida a auditoria de fechamento da frente temporal. A decisão vigente é **não encerrar ainda** a frente de switching oficial, porque o horizonte ainda não cobre até `2027-03-31` e a base mantém lotes futuros não aportados materialmente relevantes."
relatorios/historico/baselines/BASELINE_FIXA_V136.md,BASELINE_FIXA_V136.md,136,V121_V150,BASELINE_RELEVANTE,3,238,Baseline fixa V136,"# Baseline fixa V136 | A V136 consolida a correção estrutural da ativação dos lotes não aportados futuros no fluxo oficial híbrido. A partir desta versão, esses lotes entram como fontes elegíveis exatamente na data de recebimento."
relatorios/historico/baselines/BASELINE_FIXA_V137.md,BASELINE_FIXA_V137.md,137,V121_V150,BASELINE_RELEVANTE,6,403,BASELINE FIXA V137,"# BASELINE FIXA V137 | - baseline anterior: V136 | - papel da V137: introduzir a primeira versão funcional do `alocador_pagamentos_terminal_v1` | - escopo: comparação entre saldo disponível, lote não aportado, lote aportado, combinação mínima e cenário com switching elegível filtrado pelo comparador híbrido | - status: baseline apta para a próxima etapa de integração com o motor de pagamentos"
relatorios/historico/baselines/BASELINE_FIXA_V138.md,BASELINE_FIXA_V138.md,138,V121_V150,BASELINE_RELEVANTE,5,476,BASELINE FIXA V138,"# BASELINE FIXA V138 | - papel da V138: integrar o `alocador_pagamentos_terminal_v1` ao fluxo oficial de um recorte curto real de pagamentos. | - foco: validar em dados do projeto quando o fluxo escolhe saldo disponível, lote não aportado, lote aportado, combinação mínima ou cenário com switching elegível já filtrado pelo comparador híbrido. | - escopo: integração funcional do alocador ao recorte curto oficial, sem reabrir a frente de auditoria aberta de switching."
relatorios/historico/baselines/BASELINE_FIXA_V14.md,BASELINE_FIXA_V14.md,14,V001_V030,BASELINE_RELEVANTE,3,166,Baseline fixa V14,"# Baseline fixa V14 | Esta versão do repositório consolida a centralização de utilitários neutros transversais, preservando a baseline operacional da fase atual."
relatorios/historico/baselines/BASELINE_FIXA_V140.md,BASELINE_FIXA_V140.md,140,V121_V150,BASELINE_RELEVANTE,8,390,Baseline fixa V140,# Baseline fixa V140 | A V140 mantém a V139 como baseline estrutural e adiciona o contrato formal de absorção dos modelos do Script 1 na camada de pagamentos. | Nesta etapa: | - não há expansão do bloco real de pagamentos; | - não há nova auditoria ampla de switching; | - o foco é preparar a próxima integração controlada das heurísticas H1–H3 ao `alocador_pagamentos_terminal_v1`.
relatorios/historico/baselines/BASELINE_FIXA_V15.md,BASELINE_FIXA_V15.md,15,V001_V030,BASELINE_RELEVANTE,19,589,Baseline fixa V15,# Baseline fixa V15 | Esta versão do repositório foi congelada como baseline fixa de referência da fase atual do projeto. | ## Destaque da V15 | A V15 abre apenas a metade canônica e reconciliatória do bloco 06: | - normalização shadow dos lotes; | - índice canônico de lotes;
relatorios/historico/baselines/BASELINE_FIXA_V16.md,BASELINE_FIXA_V16.md,16,V001_V030,BASELINE_RELEVANTE,15,613,Baseline fixa V16,"# Baseline fixa V16 | Esta versão do repositório foi congelada como baseline fixa de referência da fase atual do projeto. | ## Objetivo | Preservar uma base estável, coerente com o contrato operacional consolidado, agora com: | - matching canônico de produtos aportados reforçado; | - resumo shadow mais consolidado;"
relatorios/historico/baselines/BASELINE_FIXA_V18.md,BASELINE_FIXA_V18.md,18,V001_V030,BASELINE_RELEVANTE,15,480,Baseline fixa V18,# Baseline fixa V18 | Esta versão consolida a nova base fixa do projeto e adapta a baseline ao contrato da aba única `Carteira`. | ## O que foi aberto nesta versão | - universo único de produtos na aba `Carteira`; | - triagem programática v1 do motor; | - score multicritério auditável de seleção de candidatos.
relatorios/historico/baselines/BASELINE_FIXA_V19.md,BASELINE_FIXA_V19.md,19,V001_V030,BASELINE_RELEVANTE,6,265,Baseline fixa V19,# Baseline fixa V19 | Esta versão corrige duas incoerências identificadas após a V18: | - remoção do fallback nominal específico de `CDB Turbinado` no matching canônico; | - enquadramento explícito do score v1 apenas como **triagem preliminar proxy** do motor.
relatorios/historico/baselines/BASELINE_FIXA_V20.md,BASELINE_FIXA_V20.md,20,V001_V030,BASELINE_RELEVANTE,3,244,Baseline fixa V20,"# Baseline fixa V20 | V20 consolida a V19 com três ajustes finos: explicitação de metadados derivados da `Carteira` como ponte transitória, calibração conservadora da triagem v1 e reforço da auditoria de matching canônico/resumo shadow."
relatorios/historico/baselines/BASELINE_FIXA_V21.md,BASELINE_FIXA_V21.md,21,V001_V030,BASELINE_RELEVANTE,3,185,Baseline fixa V21,"# Baseline fixa V21 | Derivação curta da V20 com ajustes finos de transição estrutural da `Carteira`, calibração cautelosa da triagem v1 e auditoria reforçada de matching/shadow."
relatorios/historico/baselines/BASELINE_FIXA_V22.md,BASELINE_FIXA_V22.md,22,V001_V030,BASELINE_RELEVANTE,19,496,Baseline fixa V22,# Baseline fixa V22 | A V22 é a baseline operacional que incorpora apenas o núcleo financeiro mínimo do bloco 07. | ## Escopo aberto nesta versão | - helpers fiscais/liquidez de baixo nível; | - classe `Lote`; | - criação de lote;
relatorios/historico/baselines/BASELINE_FIXA_V23.md,BASELINE_FIXA_V23.md,23,V001_V030,BASELINE_RELEVANTE,9,360,BASELINE FIXA V23,# BASELINE FIXA V23 | A V23 abre o replay controlado do passado sobre o núcleo financeiro mínimo. | Escopo desta etapa: | - reconciliar pagamentos históricos com lotes explicitamente informados; | - atualizar remanescentes por lote; | - gerar log técnico do replay;
relatorios/historico/baselines/BASELINE_FIXA_V24.md,BASELINE_FIXA_V24.md,24,V001_V030,BASELINE_RELEVANTE,3,247,BASELINE FIXA V24,"# BASELINE FIXA V24 | A V24 reforça o replay controlado do passado sobre a V23, materializando lotes históricos não aportados marcados com `Investimento='-'` e resolvendo aliases históricos auditáveis antes de qualquer nova camada econômica."
relatorios/historico/baselines/BASELINE_FIXA_V25.md,BASELINE_FIXA_V25.md,25,V001_V030,BASELINE_RELEVANTE,5,625,BASELINE FIXA V25,"# BASELINE FIXA V25 | A V25 preserva a V24 como base estrutural do replay controlado do passado e corrige o modelo base em três pontos: (1) remove arredondamento monetário diário do saldo bruto interno dos lotes, preservando precisão interna; (2) melhora a exaustão do lote no saque quando o alvo líquido praticamente consome todo o valor disponível; (3) adiciona cache diário do CDI do BCB para auditoria e replay, com fallback controlado para taxa de modelo quando a série não puder ser obtida. | A V25 não abre switching econômico, score econômico final, solver, engine completa ou relatório financeiro atual."
relatorios/historico/baselines/BASELINE_FIXA_V26.md,BASELINE_FIXA_V26.md,26,V001_V030,BASELINE_GRANULAR,1,115,BASELINE_FIXA_V26.md,Baseline V28: cache CDI diário com fallback local em dados/cache_bcb.json e atualização do arquivo ao executar.
relatorios/historico/baselines/BASELINE_FIXA_V27.md,BASELINE_FIXA_V27.md,27,V001_V030,BASELINE_RELEVANTE,3,151,BASELINE FIXA V27,# BASELINE FIXA V27 | V27: atualização neutra da baseline V26 com a nova base de dados fixa e compatibilidade entre as abas `Carteira` e `Carteiras`.
relatorios/historico/baselines/BASELINE_FIXA_V28.md,BASELINE_FIXA_V28.md,28,V001_V030,BASELINE_GRANULAR,1,149,BASELINE_FIXA_V28.md,"Baseline V28: correção do cache diário do CDI do BCB com parse estrito dd/mm/yyyy, filtro explícito de janela e fator diário na escala correta."
relatorios/historico/baselines/BASELINE_FIXA_V29.md,BASELINE_FIXA_V29.md,29,V001_V030,BASELINE_GRANULAR,1,171,BASELINE_FIXA_V29.md,Baseline V29: auditoria comparativa dos lotes críticos no console e tabela explícita de inconsistências do replay controlado com nomes das despesas e lotes informados.
relatorios/historico/baselines/BASELINE_FIXA_V30.md,BASELINE_FIXA_V30.md,30,V001_V030,BASELINE_RELEVANTE,3,136,BASELINE FIXA V30,"# BASELINE FIXA V30 | Derivada da V29 com dados_financeiros(11).xlsx, cache_bcb(2).json e referências de app de 15/04/2026 atualizadas."
relatorios/historico/baselines/BASELINE_FIXA_V31.md,BASELINE_FIXA_V31.md,31,V031_V060,BASELINE_RELEVANTE,35,2207,BASELINE FIXA V31,# BASELINE FIXA V31 | Derivada da V30 para corrigir a convenção de valuation da baseline. | ## Escopo aberto nesta versão | - fechamento completo da posição na data de referência; | - fallback controlado do último fator CDI disponível quando o cache não contém o próprio dia da referência;
relatorios/historico/baselines/BASELINE_FIXA_V32.md,BASELINE_FIXA_V32.md,32,V031_V060,BASELINE_RELEVANTE,47,2566,BASELINE FIXA V32,"# BASELINE FIXA V32 | Derivada da V31 para aprofundar a auditoria dos resíduos de saque/arredondamento sem abrir solver, switching econômico, score econômico final, relatório financeiro atual ou engine completa. | ## Ajustes desta derivação | - fixação explícita de `execucao.data_referencia_simulacao = 2026-04-15` em `dados/config_atualizado.json` para manter a auditoria alinhada às referências dos apps; | - ampliação da auditoria no console com uma nova seção de rastreamento causal dos resíduos no nível do evento histórico;"
relatorios/historico/baselines/BASELINE_FIXA_V33.md,BASELINE_FIXA_V33.md,33,V031_V060,BASELINE_RELEVANTE,36,2260,BASELINE FIXA V33,"# BASELINE FIXA V33 | Derivada da V32 para incorporar o limiar operacional aprovado de `R$ 0,20` na auditoria dos resíduos, sem abrir solver, switching econômico, score econômico final, relatório financeiro atual ou engine completa. | ## Ajustes desta derivação | - inclusão explícita de `auditoria.limiar_residuo_resolvido = 0.20` em `dados/config_atualizado.json`; | - atualização de `replay.valor_minimo_lote_ativo = 0.20` para alinhar a noção de lote residual ativo ao limiar operacional aprovado nesta fase;"
relatorios/historico/baselines/BASELINE_FIXA_V34.md,BASELINE_FIXA_V34.md,34,V031_V060,BASELINE_RELEVANTE,42,2454,BASELINE FIXA V34,"# BASELINE FIXA V34 | Derivada da V33 para aplicar a correção cirúrgica aprovada apenas à classe de lotes históricos `nao_aportado_exaurido`, sem abrir solver, switching econômico, score econômico final, relatório financeiro atual ou engine completa. | ## Ajuste desta derivação | - correção da criação de lotes para **preservar taxa explícita igual a `0.0`**, em vez de convertê-la implicitamente para `1.0`; | - efeito prático esperado: lotes históricos `nao_aportado_exaurido` deixam de acumular rendimento indevido no replay;"
relatorios/historico/baselines/BASELINE_FIXA_V35.md,BASELINE_FIXA_V35.md,35,V031_V060,BASELINE_RELEVANTE,58,2926,BASELINE FIXA V35,"# BASELINE FIXA V35 | Derivada da V34 para aplicar uma correção cirúrgica apenas na transição de taxa bônus para taxa base dos lotes aportados com `Dias_Bonus > 0`, sem abrir solver, switching econômico, score econômico final, relatório financeiro atual ou engine completa. | ## Ajuste desta derivação | - a regra de `get_taxa_dia()` deixou de cortar a taxa bônus imediatamente quando `data_base_fiscal + dias_bonus` cai em fim de semana/feriado bancário; | - a nova convenção preserva a taxa bônus no **primeiro dia útil de rendimento** imediatamente posterior ao fim da janela corrida, apenas quando a virada ocorre em dia sem rendimento;"
relatorios/historico/baselines/BASELINE_FIXA_V36.md,BASELINE_FIXA_V36.md,36,V031_V060,BASELINE_RELEVANTE,51,2142,BASELINE FIXA V36,# BASELINE FIXA V36 | ## Escopo desta derivação | A V36 parte da V35 e aplica apenas correções cirúrgicas necessárias para: | 1. aceitar a nova base `dados/dados_financeiros.xlsx` enviada pelo usuário; | 2. robustecer a leitura de datas vazias/`NaT` no inventário de lotes;
relatorios/historico/baselines/BASELINE_FIXA_V37.md,BASELINE_FIXA_V37.md,37,V031_V060,BASELINE_RELEVANTE,41,1977,BASELINE FIXA V37,# BASELINE FIXA V37 | ## Escopo desta derivação | Esta derivação consolida quatro ajustes operacionais sobre a baseline V36: | 1. leitura da nova coluna `Data Recebimento` na aba `Inventário de Lotes`; | 2. separação entre **data de recebimento** e **data de aplicação** para o replay histórico;
relatorios/historico/baselines/BASELINE_FIXA_V38.md,BASELINE_FIXA_V38.md,38,V031_V060,BASELINE_RELEVANTE,22,1145,BASELINE FIXA V38,# BASELINE FIXA V38 | ## Escopo desta derivação | Esta derivação consolida a formalização documental da regra geral introduzida na V37 para lotes com `Data Recebimento` e `Data Aplicação` distintas. | ## Texto canônico oficial da regra
relatorios/historico/baselines/BASELINE_FIXA_V39.md,BASELINE_FIXA_V39.md,39,V031_V060,BASELINE_RELEVANTE,40,2060,BASELINE FIXA V39,"# BASELINE FIXA V39 | ## Escopo desta derivação | Esta derivação consolida uma limpeza documental mais ampla do repositório, sem abrir nova frente econômica nem alterar a lógica financeira já estabilizada na V38. | ## Objetivos da limpeza documental"
relatorios/historico/baselines/BASELINE_FIXA_V40.md,BASELINE_FIXA_V40.md,40,V031_V060,BASELINE_RELEVANTE,25,1921,BASELINE FIXA V40,"# BASELINE FIXA V40 | ## Escopo desta derivação | Esta derivação consolida uma limpeza adicional da saída operacional do script, reorganiza a apresentação do console, aplica o filtro de materialidade diretamente na tabela de inconsistências do replay e gera a planilha operacional com as abas `Extrato passado`, `Extrato futuro`, `Melhores produtos` e `Situação atual`. | ## Ajustes operacionais consolidados"
relatorios/historico/baselines/BASELINE_FIXA_V41.md,BASELINE_FIXA_V41.md,41,V031_V060,BASELINE_RELEVANTE,12,753,Baseline fixa V41,"# Baseline fixa V41 | ## Escopo | A V41 consolida a auditoria da seção **Situação atual — lotes ativos** para eliminar divergência entre console, planilha operacional e cálculo interno. | ## Ajustes desta versão | - a tabela de lotes ativos passou a recalcular `Bruto` e `Líquido` explicitamente na `data_referência`, usando `valor_bruto_em_data(...)` e `valor_liquido_em_data(...)`; | - a coluna `Valor original` foi adicionada ao console e à aba `Situação atual`;"
relatorios/historico/baselines/BASELINE_FIXA_V42.md,BASELINE_FIXA_V42.md,42,V031_V060,BASELINE_RELEVANTE,13,1108,Baseline fixa V42,"# Baseline fixa V42 | ## Escopo | A V42 corrige a divergência da seção **Situação atual — lotes ativos** quando o cache CDI já contém o fator do fechamento útil imediatamente anterior à data de referência. | ## Ajustes desta versão | - a situação atual passou a usar uma **data econômica efetiva** para exibição dos lotes ativos; | - quando a série CDI já alcança o fechamento útil imediatamente anterior à data de referência, a saída deixa de extrapolar um dia adicional sobre a data corrente;"
relatorios/historico/baselines/BASELINE_FIXA_V45.md,BASELINE_FIXA_V45.md,45,V031_V060,BASELINE_RELEVANTE,14,957,Baseline fixa V45,"# Baseline fixa V45 | ## Escopo | A V45 não abre novas camadas econômicas do projeto. Ela saneia o contrato operacional para refletir apenas o que já é executável na baseline e separa, em documento próprio, o backlog contratual das fases futuras. | ## Ajustes desta versão | - revisão cirúrgica do contrato operacional vigente; | - remoção de resíduos históricos e metas futuras do contrato executável;"
