arquivo,nome,linhas_codigo,categoria_preliminar,acao_preliminar,importa_nucleo,importa_aplicacao,descricao_inicial
scripts\diagnostico\inspecionar_consolidacao_helpers_baixo_risco.py,inspecionar_consolidacao_helpers_baixo_risco.py,47,inspecao_sem_versao_explicita,avaliar,não,não,
scripts\diagnostico\inspecionar_contrato_f1.py,inspecionar_contrato_f1.py,40,inspecao_sem_versao_explicita,avaliar,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_contrato_v117.py,inspecionar_contrato_v117.py,31,diagnostico_historico_antigo,candidato_remocao,sim,não,
scripts\diagnostico\inspecionar_correcao_flattening_v148.py,inspecionar_correcao_flattening_v148.py,7,diagnostico_historico_intermediario,candidato_remocao,não,não,
scripts\diagnostico\inspecionar_decisao_local_v1.py,inspecionar_decisao_local_v1.py,49,inspecao_sem_versao_explicita,avaliar,sim,não,"""""""Inspeciona a quarta estrutura real da F1: decisão local v1 por pagamento."""""""
scripts\diagnostico\inspecionar_divergencias_residuais_proxy_v3_vs_hibrido_shadow.py,inspecionar_divergencias_residuais_proxy_v3_vs_hibrido_shadow.py,40,inspecao_sem_versao_explicita,avaliar,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_fluxo_pagamentos_terminal_recorte_amplo_v142.py,inspecionar_fluxo_pagamentos_terminal_recorte_amplo_v142.py,40,diagnostico_historico_intermediario,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_fluxo_pagamentos_terminal_recorte_curto_v138.py,inspecionar_fluxo_pagamentos_terminal_recorte_curto_v138.py,40,diagnostico_historico_intermediario,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_fontes_elegiveis_pagamento.py,inspecionar_fontes_elegiveis_pagamento.py,66,inspecao_sem_versao_explicita,avaliar,sim,não,"""""""Inspeciona a segunda estrutura real da F1: fonte_elegivel_pagamento por data de pagamento."""""""
scripts\diagnostico\inspecionar_grade_diaria_hibrida_v133.py,inspecionar_grade_diaria_hibrida_v133.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_grade_diaria_hibrida_v134.py,inspecionar_grade_diaria_hibrida_v134.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_grade_diaria_hibrida_v136.py,inspecionar_grade_diaria_hibrida_v136.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_grade_diaria_parametrizada_v130.py,inspecionar_grade_diaria_parametrizada_v130.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_grade_diaria_switching_v126.py,inspecionar_grade_diaria_switching_v126.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_grade_diaria_switching_v127.py,inspecionar_grade_diaria_switching_v127.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_heuristica_conjunta_parcial_bloco_critico.py,inspecionar_heuristica_conjunta_parcial_bloco_critico.py,7,inspecao_sem_versao_explicita,avaliar,não,não,
scripts\diagnostico\inspecionar_integracao_funcional_minima_v117.py,inspecionar_integracao_funcional_minima_v117.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_mapa_absorcao_legado.py,inspecionar_mapa_absorcao_legado.py,40,inspecao_sem_versao_explicita,avaliar,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_mapa_execucao_principal_script2.py,inspecionar_mapa_execucao_principal_script2.py,40,inspecao_sem_versao_explicita,avaliar,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_microplanejamento_conjunto_bloco_critico_v2.py,inspecionar_microplanejamento_conjunto_bloco_critico_v2.py,7,inspecao_sem_versao_explicita,avaliar,não,não,
scripts\diagnostico\inspecionar_motor_diario_conjunto_experimental_v143.py,inspecionar_motor_diario_conjunto_experimental_v143.py,7,diagnostico_historico_intermediario,candidato_remocao,não,não,
scripts\diagnostico\inspecionar_motor_diario_conjunto_experimental_v144.py,inspecionar_motor_diario_conjunto_experimental_v144.py,7,diagnostico_historico_intermediario,candidato_remocao,não,não,
scripts\diagnostico\inspecionar_motor_diario_pos_vencimento_v146.py,inspecionar_motor_diario_pos_vencimento_v146.py,7,diagnostico_historico_intermediario,candidato_remocao,não,não,
scripts\diagnostico\inspecionar_motor_recomendacao_pagamentos_switching_v1.py,inspecionar_motor_recomendacao_pagamentos_switching_v1.py,53,inspecao_sem_versao_explicita,avaliar,sim,não,"""""""Inspeção canônica do motor de recomendações de pagamentos + switching."
scripts\diagnostico\inspecionar_parametros_produtos_switching_v129.py,inspecionar_parametros_produtos_switching_v129.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_planejador_switching_temporal_horizonte_longo_v122.py,inspecionar_planejador_switching_temporal_horizonte_longo_v122.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_planejamento_conjunto_local_bloco_critico_v1.py,inspecionar_planejamento_conjunto_local_bloco_critico_v1.py,7,inspecao_sem_versao_explicita,avaliar,não,não,
scripts\diagnostico\inspecionar_primeira_quebra_runner_futuro_shadow.py,inspecionar_primeira_quebra_runner_futuro_shadow.py,40,inspecao_sem_versao_explicita,avaliar,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_ranking_carteira_estabilizado_v123.py,inspecionar_ranking_carteira_estabilizado_v123.py,41,diagnostico_historico_antigo,candidato_remocao,sim,não,"""""""Wrapper diagnóstico read-only."
scripts\diagnostico\inspecionar_recebidos_auditaveis.py,inspecionar_recebidos_auditaveis.py,57,inspecao_sem_versao_explicita,avaliar,sim,não,"""""""Inspeciona a primeira estrutura real da F1: recebido_auditavel."""""""
scripts\diagnostico\inspecionar_recomputacao_sequencial_central_v1.py,inspecionar_recomputacao_sequencial_central_v1.py,55,inspecao_sem_versao_explicita,avaliar,sim,não,"""""""Inspeção canônica da recomputação sequencial central."
scripts\diagnostico\inspecionar_reescolha_dinamica_pos_quebra.py,inspecionar_reescolha_dinamica_pos_quebra.py,51,inspecao_sem_versao_explicita,avaliar,sim,não,"""""""Inspeciona a reescolha dinâmica pós-quebra sobre a auditoria temporal da decisão local."""""""
scripts\diagnostico\inspecionar_resolver_hibrido_5p_shadow.py,inspecionar_resolver_hibrido_5p_shadow.py,84,inspecao_sem_versao_explicita,avaliar,sim,não,"""""""Inspeciona o benchmark shadow do resolver_hibrido_5p legado."""""""
scripts\diagnostico\inspecionar_saldo_disponivel_geral.py,inspecionar_saldo_disponivel_geral.py,62,inspecao_sem_versao_explicita,avaliar,sim,não,"""""""Inspeciona a terceira estrutura real da F1: saldo_disponivel geral por pagamento."""""""
scripts\diagnostico\inspecionar_simulacao_central_controlada_horizonte_longo_v124.py,inspecionar_simulacao_central_controlada_horizonte_longo_v124.py,40,diagnostico_historico_antigo,candidato_remocao,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_switching_economico_shadow.py,inspecionar_switching_economico_shadow.py,74,inspecao_sem_versao_explicita,avaliar,sim,não,"""""""Inspeciona a absorção do switching econômico legado em modo shadow."""""""
scripts\diagnostico\inspecionar_transicao_dominante_proxy_v3_vs_hibrido_shadow.py,inspecionar_transicao_dominante_proxy_v3_vs_hibrido_shadow.py,40,inspecao_sem_versao_explicita,avaliar,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_validacao_diaria_operacional_v176.py,inspecionar_validacao_diaria_operacional_v176.py,40,inspecao_sem_versao_explicita,avaliar,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\inspecionar_validacao_diaria_operacional_v177.py,inspecionar_validacao_diaria_operacional_v177.py,40,inspecao_sem_versao_explicita,avaliar,não,não,"""""""Script legado bloqueado pela governança de saídas V203."
scripts\diagnostico\limpar_artefatos_efemeros.py,limpar_artefatos_efemeros.py,53,outro,avaliar,não,não,"""""""Limpeza oficial de artefatos efêmeros pré-release."
scripts\diagnostico\run_v150_multi.py,run_v150_multi.py,7,diagnostico_historico_intermediario,candidato_remocao,não,não,
scripts\diagnostico\validar_janela_diaria_operacional_v175.py,validar_janela_diaria_operacional_v175.py,6,outro,avaliar,não,não,
scripts\diagnostico\verificar_release_baseline.py,verificar_release_baseline.py,565,release_check,manter,sim,não,
scripts\diagnostico\verificar_release_limpo.py,verificar_release_limpo.py,25,release_check,manter,não,não,"""""""Release checker com limpeza prévia de artefatos efêmeros."
